Key Value id name level Width(0
tourism alpine_hut 136 tourism_alpinehut 4 0
tourism information 139 tourism_visiting_center 4 0
tourism chalet 24 hotels 4 0
tourism theme_park 28 parks 1 0
tourism picnic_site 28 parks 1 0
tourism attraction 137 tourism_attraction 4 0
tourism hotel 24 hotels 4 0
tourism yes 138 tourism 4 5
tourism camp_site 138 tourism 4 0
tourism motel 24 hotels 4 0
tourism zoo 142 tourism_zoo 4 0
tourism guest_house 24 hotels 4 0
tourism museum 140 tourism_museum 4 0
tourism wilderness_hut 138 tourism 4 0
tourism viewpoint 141 tourism_viewpoint 4 0
tourism hostel 24 hotels 4 0
tourism artwork 138 tourism 4 5
tourism caravan_site 138 tourism 4 0
tracks tracks 110 railway 3 0
tunnel yes 114 tunnel 3 0
waterway drain 145 water_stream 1 5
waterway riverbank 144 water_large_river 1 15
waterway weir 147 water_dam 1 10
waterway stream 145 water_stream 1 2
waterway river 143 water_river 1 5
waterway dam 147 water_dam 1 20
waterway boatyard 23 harbors 2 0
waterway ditch 145 water_stream 1 3
waterway turning_point 1 Open_Water 0 0
waterway water_point 1 Open_Water 0 0
waterway canal 146 water_canal 1 10
waterway lock_gate 1 Open_Water 0 0
waterway dock 23 harbors 2 0
water pond 73 pond 2 0
tree palm_tree 242 palm_tree 5 0
tree tree 243 tree 5 0
